Date,Departure,Doors Open,Difference
9/19/2024,5:15:00 PM,4:58:00 PM,17
1/13/2025,12:35:00 PM,12:21:00 PM,14
1/15/2025,1:35:00 PM,1:16:00 PM,19
1/16/2025,5:15:00 PM,5:07:00 PM,8
1/17/2025,1:35:00 PM,1:18:00 PM,17
1/22/2025,1:35:00 PM,1:06:00 PM,29
1/23/2025,5:15:00 PM,5:03:00 PM,12
1/24/2025,1:35:00 PM,1:27:00 PM,8
1/27/2025,12:35:00 PM,12:20:00 PM,15
1/29/2025,1:35:00 PM,1:19:00 PM,16
1/31/2025,1:35:00 PM,1:22:00 PM,13
2/3/2025,12:35:00 PM,12:17:00 PM,18
2/4/2025,5:52:00 PM,5:35:00 PM,17
2/19/2025,12:35:00 PM,12:18:00 PM,17
2/24/2025,12:35:00 PM,12:18:00 PM,17
2/25/2025,5:22:00 PM,5:07:00 PM,15
3/11/2025,5:22:00 PM,5:02:00 PM,20
3/12/2025,1:35:00 PM,1:18:00 PM,17
3/24/2025,12:35:00 PM,12:24:00 PM,11
3/26/2025,12:35:00 PM,12:18:00 PM,17
3/27/2025,5:22:00 PM,5:08:00 PM,14
4/9/2025,1:35:00 PM,1:16:00 PM,19
4/10/2025,5:22:00 PM,5:09:00 PM,13
4/28/2025,12:35:00 PM,12:15:00 PM,20
5/9/2025,1:35:00 PM,1:22:00 PM,13
5/12/2025,2:35:00 PM,2:11:00 PM,24